事業所名,電気起算校舎(GJ),電気起算寄宿舎(GJ),化石燃料起算校舎(GJ),化石燃料起算寄宿舎(GJ),新エネルギー(GJ)
函館,10026,2079,8780,2701,181
苫小牧,10137,1424,10602,5557,354
釧路,9318,2598,16202,7899,0
旭川,9254,2197,11360,4321,0
八戸,13365,1909,8003,10321,324
一関,9619,3874,7506,2167,252
仙台(広瀬),11858,1968,5151,1047,0
仙台(名取),13994,1828,7826,768,220
秋田,9793,1918,9260,4625,0
鶴岡,11030,6001,6116,1710,0
福島,13337,2375,4313,1862,347
茨城,9183,2945,1418,910,480
小山,18187,3499,560,1323,0
群馬,12876,1829,7152,928,390
木更津,12271,1365,4967,178,76
東京,15806,1759,1487,1634,204
長岡,16474,2729,10186,5004,0
富山(本郷),11582,1963,3797,494,0
富山(射水),8546,2648,4442,1604,0
石川,16872,2999,350,745,3
福井,12052,2161,6065,1020,58
長野,7705,4825,3927,1491,898
岐阜,10605,2461,3092,664,321
沼津,15807,2686,721,2243,406
豊田,10412,3097,4354,1893,0
鳥羽,8307,1022,2360,416,0
鈴鹿,13130,4271,455,1562,369
舞鶴,8456,7733,4556,2641,249
明石,12998,3240,185,375,637
奈良,12888,2207,4973,540,68
和歌山,9503,5617,3505,1990,0
米子,14751,3272,221,1333,1
松江,11817,3211,78,1258,574
津山,10719,7917,299,387,178
広島,6363,6145,857,1205,0
呉,10287,3067,2948,1317,0
徳山,8433,1758,1311,665,264
宇部,11313,5509,2243,226,0
大島,7700,2463,848,863,0
阿南,13532,2675,261,570,863
香川(高松),11296,2757,39,475,513
香川(詫間),8818,3663,1266,1360,191
新居浜,10515,4374,271,1277,329
弓削,8246,5240,497,1362,0
高知,12755,4032,388,2189,284
久留米,14759,1802,995,270,759
有明,11146,3256,3418,794,523
北九州,10607,1936,4661,593,403
佐世保,8857,3848,1615,394,62
熊本(八代),11117,3655,124,1359,0
熊本(熊本),8292,2658,707,272,125
大分,9501,3445,5480,990,0
都城,8765,1911,3792,1049,23
鹿児島,11324,3848,5527,2176,343
沖縄,16383,3968,1681,587,0
機構本部,1332,0,466,0,0
