department,year,base,unit,count
電子情報工学科,1962,計,学科,0
電子情報工学科,1963,計,学科,0
電子情報工学科,1964,計,学科,0
電子情報工学科,1965,計,学科,0
電子情報工学科,1966,計,学科,0
電子情報工学科,1967,計,学科,0
電子情報工学科,1968,計,学科,0
電子情報工学科,1969,計,学科,0
電子情報工学科,1970,計,学科,0
電子情報工学科,1971,計,学科,0
電子情報工学科,1972,計,学科,0
電子情報工学科,1973,計,学科,0
電子情報工学科,1974,計,学科,0
電子情報工学科,1975,計,学科,0
電子情報工学科,1976,計,学科,0
電子情報工学科,1977,計,学科,0
電子情報工学科,1978,計,学科,0
電子情報工学科,1979,計,学科,0
電子情報工学科,1980,計,学科,0
電子情報工学科,1981,計,学科,0
電子情報工学科,1982,計,学科,0
電子情報工学科,1983,計,学科,0
電子情報工学科,1984,計,学科,0
電子情報工学科,1985,計,学科,0
電子情報工学科,1986,計,学科,1
電子情報工学科,1987,計,学科,3
電子情報工学科,1988,計,学科,4
電子情報工学科,1989,計,学科,7
電子情報工学科,1990,計,学科,7
電子情報工学科,1991,計,学科,8
電子情報工学科,1992,計,学科,8
電子情報工学科,1993,計,学科,8
電子情報工学科,1994,計,学科,8
電子情報工学科,1995,計,学科,8
電子情報工学科,1996,計,学科,9
電子情報工学科,1997,計,学科,9
電子情報工学科,1998,計,学科,9
電子情報工学科,1999,計,学科,9
電子情報工学科,2000,計,学科,9
電子情報工学科,2001,計,学科,9
電子情報工学科,2002,計,学科,9
電子情報工学科,2003,計,学科,9
電子情報工学科,2004,計,学科,9
電子情報工学科,2005,計,学科,9
電子情報工学科,2006,計,学科,9
電子情報工学科,2007,計,学科,9
電子情報工学科,2008,計,学科,9
電子情報工学科,2009,計,学科,9
電子情報工学科,2010,計,学科,8
電子情報工学科,2010,計,学科,8
電子情報工学科,2011,計,学科,8
電子情報工学科,2011,計,学科,8
電子情報工学科,2012,計,学科,8
電子情報工学科,2012,計,学科,7
電子情報工学科,2013,計,学科,8
電子情報工学科,2013,計,学科,6
電子情報工学科,2018,計,学科,6
電子情報工学科,2019,計,学科,5
電子情報工学科,2020,計,学科,6
